ticker,fiscal_year,revenue,gross_profit,ebitda,ebit,net_income,total_assets,total_equity,total_debt,cash_and_equivalents,operating_cf,capex,free_cash_flow
A,2024,6510000000.0,3535000000.0,1488000000.0,1488000000.0,1289000000,11846000000,5898000000,3390000000.0,1329000000.0,1751000000.0,378000000.0,1373000000.0
A21,2021,4186125184.0,892942059.0,-157669889.0,-157669889.0,-49820876,61848913000,41064302000,5997941000.0,27854224000.0,1292639073.0,533853117.0,758785956.0
AA,2024,11895000000.0,1851000000.0,235000000.0,877000000.0,60000000,14064000000,5157000000,2545000000.0,1138000000.0,622000000.0,577000000.0,45000000.0
AAC,2022,,,-7342712.0,-7342712.0,20983590,1013478050,952326423,0.0,37982.0,-2211528.0,0.0,-2211528.0
AACG,2022,30734056.0,15232481.0,-8408893.0,-8408893.0,-7116996,66737276,20186422,0.0,7733406.0,-2171657.0,240488.0,-2412145.0
AACI,2021,,,-184105.0,-184105.0,-468899,151119504,150910477,0.0,657590.0,-525829.0,0.0,-525829.0
AACT,2024,14933000.0,,-61719000.0,-61719000.0,-69459000,35561000,-80187000,34366000.0,16709000.0,-50961000.0,3192000.0,-54153000.0
AAGH,2024,294670.0,169750.0,-782700.0,-782700.0,-1220571,323478,-5311599,2440555.0,54943.0,-615627.0,44420.0,-660047.0
AAIC,2022,49456000.0,,34541000.0,34541000.0,5426000,1002318000,217340000,394763000.0,132458000.0,-1375000.0,0.0,-1375000.0
AAL,2024,54211000000.0,13391000000.0,688000000.0,2614000000.0,846000000,61783000000,-3977000000,30476000000.0,6984000000.0,3983000000.0,2683000000.0,1300000000.0
AAM,2024,,,-769833.0,-769833.0,5855202,354034505,344735444,0.0,417897.0,-682893.0,0.0,-682893.0
AAMC,2023,-17322891.0,-5635000.0,-13902000.0,-13181000.0,-32546000,25539000,-125835549,52660724.0,8713000.0,-11773000.0,16000.0,-11789000.0
AAN,2023,2139890000.0,1119319000.0,137873617.0,137873617.0,2823000,1826576000,686138000,703080933.0,59035000.0,180414000.0,77121000.0,103293000.0
AAOI,2024,249365000.0,61800000.0,-70908000.0,-70908000.0,-186733000,547032000,229112000,180439000.0,67428000.0,-69526000.0,43905000.0,-113431000.0
AAON,2022,888788000.0,237572000.0,126749000.0,126749000.0,100376000,813903000,560714000,71004000.0,5451000.0,61318000.0,76012000.0,-14694000.0
AAP,2022,9148874000.0,4232870000.0,524618000.0,524618000.0,464402000,11986447000,2599192000,1373283000.0,270805000.0,736571000.0,399520000.0,337051000.0
AAPL,2024,391035000000.0,180683000000.0,123216000000.0,123216000000.0,93736000000,364980000000,56950000000,106629000000.0,65171000000.0,118254000000.0,9447000000.0,108807000000.0
AAT,2024,457855000.0,334352000.0,3738000.0,129199000.0,56798000,3273365000,1124321000,2010515000.0,425659000.0,208372000.0,70205000.0,138167000.0
