ticker,interest_expense
A,16000000.0
A21,9801905.0
AA,156000000.0
AAC,0.0
AACG,112474.0
AACI,1052.0
AACT,4951000.0
AAGH,443662.0
AAIC,27584000.0
AAL,1466000000.0
AAM,6625035.0
AAMC,2793000.0
AAN,48974235.0
AAOI,5952000.0
AAON,2627000.0
AAP,50841000.0
AAPL,0.0
AAT,74527000.0
AAWH,45263000.0
AAWW,72937000.0
ABBV,2160000000.0
ABCL,38473000.0
ABEO,38000.0
ABG,160600000.0
ABIO,1957000.0
ABIT,1884000.0
ABM,41100000.0
ABMC,191000.0
ABMD,0.0
ABML,134989.0
ABNB,818000000.0
ABOS,10249000.0
ABR,0.0
ABSI,565000.0
ABT,215000000.0
ABTL,1011000.0
ABUS,6448000.0
ABVC,738541.0
AC,32233000.0
ACA,63400000.0
ACAC,2118942.0
ACAD,25458000.0
ACAH,4645291.0
ACAN,508721.0
ACAQ,0.0
ACBA,283.0
ACC,116419000.0
ACCD,5952000.0
ACCO,45100000.0
ACEL,35892000.0
ACER,11847902000.0
ACET,10710000.0
ACHC,116368000.0
ACHR,2300000.0
ACHV,176000.0
ACI,492100000.0
ACIA,5598000.0
ACIW,56545000.0
ACLS,18941000.0
ACLX,1030000.0
ACM,126860000.0
ACMR,5673000.0
ACN,213287000.0
ACOR,31003000.0
ACR,0.0
ACRE,105985000.0
ACRO,10478.0
ACRS,7953000.0
ACRV,9201000.0
ACRX,134000.0
ACST,5271000.0
ACTG,6432000.0
ACU,2977164.0
ACVA,5093000.0
ACXP,0.0
ADAG,315822.0
ADAP,3248000.0
ADBE,169000000.0
ADC,108904000.0
ADCT,37939000.0
ADER,3765624.0
ADES,3257000.0
ADEX,34001000.0
ADI,243410000.0
ADIL,69779.0
ADM,103000000.0
ADMA,11833000.0
ADMP,44126.0
ADMS,13987000.0
ADN,52000.0
ADOM,7669.0
ADP,361400000.0
ADPT,11580000.0
ADRA,11715000.0
ADRT,16323.0
ADSK,82000000.0
ADT,263068000.0
ADTN,18995000.0
ADUS,3338000.0
ADV,104387000.0
ADVM,0.0
ADXS,157000.0
AE,1913000.0
AEE,663000000.0
AEHA,2046000.0
AEHR,2388000.0
AEI,131319.0
AEIS,3122000.0
AEMD,288013.0
AEO,14297000.0
AEP,1806900000.0
AERC,0.0
AERG,3727.0
AERI,0.0
AESE,789302.0
AEVA,3707000.0
AEYE,864000.0
AFCG,6357457.0
AFGS,0.0
AFI,12000000.0
AFIB,5561000.0
AFRM,0.0
AFTC,0.0
AGCO,93000000.0
AGE,526000.0
AGEN,61863000.0
AGFS,22206000.0
AGIO,48083000.0
AGL,6177000.0
AGM,0.0
AGMH,0.0
AGNC,625000000.0
AGR,409000000.0
AGS,51188000.0
AGTI,84115000.0
AGX,0.0
AGYS,2253000.0
AH,18900000.0
AHCO,109414000.0
AHFC,2445000000.0
AHH,39680000.0
AHPI,191274.0
AHR,105956000.0
AHT,155912000.0
AI,36189000.0
AILIM,486000000.0
AIM,1069000.0
AIMC,51500000.0
AIMD,10185.0
AIN,12549000.0
AINC,9625000.0
AINV,0.0
AIP,244000.0
AIR,2300000.0
AIRC,121340000.0
AIRG,115000.0
AIRI,1893000.0
AIRS,6247000.0
AIRTP,7935000.0
AIT,2831000.0
AIV,50625000.0
AJG,381000000.0
AJRD,13200000.0
AKA,10296000.0
AKAM,27117000.0
AKLI,2358000.0
AKOM,0.0
AKR,67472000.0
AKRO,4668000.0
AKTS,2658000.0
AKTX,236000.0
AKU,118012000.0
AKYA,7923000.0
AL,781996000.0
ALB,122973000.0
ALBO,2530000.0
ALC,192000000.0
ALCC,7732000.0
ALCO,3153000.0
ALDX,4265588.0
ALE,81700000.0
ALEC,0.0
ALEX,25656000.0
ALG,17911000.0
ALGM,28842000.0
ALGN,20218000.0
ALGS,10548000.0
ALGT,112431000.0
ALHC,23547000.0
ALIM,10185000.0
ALIT,103000000.0
ALJJ,10190000.0
ALKS,19872000.0
ALKT,4099000.0
ALLE,102000000.0
ALLK,6450000.0
ALLO,181000.0
ALLR,120000.0
ALLT,1910000.0
ALMU,1000.0
ALNA,0.0
ALNY,19866000.0
ALOT,1678000.0
ALPA,29466.0
ALPN,11754000.0
ALRM,5615000.0
ALRN,0.0
ALSK,10826000.0
ALSN,89000000.0
ALT,7316000.0
ALTG,24000000.0
ALTI,397000.0
ALTM,217235000.0
ALTO,0.0
ALTR,12065000.0
ALUR,2264000.0
ALV,95000000.0
ALVR,5486000.0
ALX,38389000.0
ALXN,104700000.0
ALXO,7637000.0
ALZN,7701.0
AMAM,968000.0
AMAT,247000000.0
AMBA,0.0
AMBQ,0.0
AMC,401800000.0
AMCIU,8000.0
AMCR,310000000.0
AMCX,129383000.0
AMD,92000000.0
AME,112962000.0
AMED,22654000.0
AMG,133300000.0
AMGN,3155000000.0
AMH,165351000.0
AMHCU,5058000.0
AMK,9108000.0
AMKR,64945000.0
AMLX,13809000.0
AMN,69901000.0
AMOT,13296000.0
AMP,863000000.0
AMPE,348000.0
AMPH,19731000.0
AMPL,0.0
AMPS,19933000.0
AMPX,2514000.0
AMPY,14101000.0
AMR,14397000.0
AMRC,74805000.0
AMRK,12363000.0
AMRN,2804000.0
AMRS,24733000.0
AMRX,258595000.0
AMRZ,512000000.0
AMSC,3708000.0
AMSWA,3820000.0
AMT,830500000.0
AMTX,9888000.0
AMWD,10341000.0
AMWL,0.0
AMZN,2271000000.0
AN,176300000.0
ANAB,19794000.0
ANDE,31760000.0
ANEB,97792.0
ANET,0.0
ANF,27857000.0
ANGI,20169000.0
ANGN,322000.0
ANGO,1614000.0
ANIK,0.0
ANIP,17602000.0
ANIX,5263000.0
ANNX,0.0
ANRO,7476000.0
ANSS,3282000.0
ANTX,5467000.0
ANVS,331849.0
ANY,1183000.0
ANZU,816000.0
AOMR,67052000.0
AON,721000000.0
AORT,32810000.0
AOS,6700000.0
AOSL,1186000.0
