ticker,price,market_cap,shares_outstanding,52w_high,52w_low
MMM,147.73919677734375,77055928205.4992,521567261,177.41000366210938,137.6300048828125
AOS,60.560001373291016,8346901658.718811,137828624,81.87000274658203,58.220001220703125
ABT,87.04499816894531,151616122800.57486,1741813154,139.05999755859375,86.16000366210938
ABBV,204.97000122070312,362543226572.8237,1768762377,244.80999755859375,176.57000732421875
ACN,177.47000122070312,109221278418.99362,615435159,325.7099914550781,173.52000427246094
ADBE,251.9600067138672,101842234713.74512,404200000,422.95001220703125,224.1300048828125
AMD,414.2550048828125,675405852142.2104,1630410844,430.57000732421875,96.87999725341797
AES,14.40999984741211,10275361978.623905,713071623,17.649999618530273,9.460000038146973
AFL,114.31510162353516,58361288831.8634,510530000,119.31999969482422,96.94999694824219
A,119.16000366210938,33674893128.640594,282602317,160.27000427246094,104.36000061035156
APD,302.0450134277344,67259590792.9671,222680686,307.2900085449219,229.11000061035156
ABNB,139.67999267578125,83043282844.927,594525252,147.25,110.80999755859375
AKAM,117.87000274658203,17353181072.12018,147223048,121.12000274658203,69.77999877929688
ALB,196.67999267578125,23185992071.73065,117886887,215.7100067138672,53.70000076293945
ARE,46.08000183105469,8030337957.496948,174269480,88.23999786376953,39.40999984741211
ALGN,171.89999389648438,12311009135.382843,71617275,208.30999755859375,122.0
ALLE,136.6699981689453,11744853965.516739,85935861,183.11000061035156,131.22000122070312
LNT,72.56999969482422,18743164496.270103,258277037,75.76000213623047,58.97999954223633
ALL,220.48500061035156,56757453908.16727,257420930,222.22999572753906,188.0800018310547
GOOGL,395.57501220703125,4792566969112.155,12115444154,398.4800109863281,147.83999633789062
GOOG,391.9049987792969,4748103126384.01,12115444154,394.5,149.49000549316406
MO,70.86000061035156,118328493931.32072,1669891235,74.55999755859375,54.70000076293945
AMZN,273.79998779296875,2945296432264.4287,10757109436,278.55999755859375,183.85000610351562
AMCR,41.18000030517578,19027041655.205154,462045690,50.939998626708984,36.66999816894531
AEE,110.0199966430664,30437386225.673515,276653219,115.58999633789062,93.2699966430664
AEP,134.39999389648438,73054928394.3518,543563480,139.44000244140625,97.45999908447266
AXP,321.5199890136719,219381590457.0978,682326443,387.489990234375,273.6099853515625
AIG,78.875,41820015681.375,530206221,87.45999908447266,71.25
AMT,180.66000366210938,84168243551.69138,465893069,234.3300018310547,165.0800018310547
AWK,125.91999816894531,24589722846.750687,195280521,150.50999450683594,121.27999877929688
AMP,477.8399963378906,43053383670.043945,90100000,550.1799926757812,422.3699951171875
AME,240.91000366210938,55217296051.18646,229203002,242.0500030517578,167.75
AMGN,330.8999938964844,178685996704.10156,540000000,391.2900085449219,261.42999267578125
APH,139.49000549316406,171493296351.87457,1229430709,167.0399932861328,79.0999984741211
ADI,414.3599853515625,202292267343.09192,488204157,414.8800048828125,194.25999450683594
AON,312.8349914550781,66814343015.41666,213576949,381.0,304.5899963378906
APA,38.91999816894531,13754343465.784515,353400414,45.65999984741211,15.199999809265137
APO,131.63999938964844,75892968969.80069,576519062,157.27999877929688,99.55999755859375
AAPL,284.260009765625,4175027959991.211,14687356000,288.6199951171875,193.25
AMAT,429.1499938964844,340577669579.23975,793609867,432.80999755859375,151.50999450683594
APP,456.2655029296875,153424255498.0719,336260915,745.6099853515625,290.9599914550781
APTV,57.34000015258789,14400716494.881851,251146084,88.93000030517578,52.380001068115234
ACGL,95.5,33730600000.0,353200000,103.38999938964844,82.44999694824219
ADM,76.5199966430664,36874611434.31015,481895100,81.75,46.810001373291016
ARES,122.51499938964844,40502560885.78725,330592671,195.25999450683594,95.80000305175781
