index,ticker,SimFinId,Currency,fiscal_year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
0,A,45846,USD,2020,FY,2020-10-31,2020-12-18,2022-12-21,309000000.0,312000000.0,5339000000.0,-2502000000.0,2837000000.0,-1991000000.0,-1496000000.0,-495000000.0,,846000000.0,-4000000.0,-70000000.0,842000000.0,,842000000.0,-123000000.0,719000000,,719000000,719000000
1,A,45846,USD,2021,FY,2021-10-31,2021-12-17,2023-12-20,305000000.0,307000000.0,6319000000.0,-2912000000.0,3407000000.0,-2060000000.0,-1619000000.0,-441000000.0,,1347000000.0,13000000.0,-79000000.0,1360000000.0,,1360000000.0,-150000000.0,1210000000,,1210000000,1210000000
2,A,45846,USD,2022,FY,2022-10-31,2022-12-21,2024-12-20,304000000.0,307000000.0,6848000000.0,-3126000000.0,3722000000.0,-2104000000.0,-1637000000.0,-467000000.0,,1618000000.0,-114000000.0,-75000000.0,1504000000.0,,1504000000.0,-250000000.0,1254000000,,1254000000,1254000000
3,A,45846,USD,2023,FY,2023-10-31,2023-12-20,2025-12-22,294000000.0,296000000.0,6833000000.0,-3368000000.0,3465000000.0,-2115000000.0,-1634000000.0,-481000000.0,,1350000000.0,-11000000.0,-44000000.0,1339000000.0,,1339000000.0,-99000000.0,1240000000,,1240000000,1240000000
4,A,45846,USD,2024,FY,2024-10-31,2024-12-20,2025-12-22,290000000.0,291000000.0,6510000000.0,-2975000000.0,3535000000.0,-2047000000.0,-1568000000.0,-479000000.0,,1488000000.0,33000000.0,-16000000.0,1521000000.0,,1521000000.0,-232000000.0,1289000000,,1289000000,1289000000
5,A21,1333027,USD,2020,FY,2020-12-31,2021-03-10,2023-04-21,1853320448.0,2115376392.0,9456609000.0,-7907270000.0,1549339000.0,-2218676000.0,-1118819000.0,-1099857000.0,,-669337000.0,208133000.0,-66916000.0,-461204000.0,272327000.0,-188877000.0,22847000.0,-166030000,14373000.0,-151657000,-791985000
6,A21,1333027,USD,2021,FY,2021-12-31,2022-04-19,2024-04-12,1853320448.0,1853320448.0,4186125184.0,-3293183125.0,892942059.0,-1050611949.0,-541269175.0,-509342773.0,,-157669889.0,133986239.0,-9801905.0,-23683650.0,,-23683650.0,-26137226.0,-49820876,,-49820876,-49820876
7,AA,367153,USD,2020,FY,2020-12-31,2021-02-25,2023-02-23,186000000.0,186000000.0,9286000000.0,-7969000000.0,1317000000.0,-886000000.0,-206000000.0,-27000000.0,-653000000.0,431000000.0,-154000000.0,-146000000.0,277000000.0,-104000000.0,173000000.0,-187000000.0,-14000000,,-170000000,-170000000
8,AA,367153,USD,2021,FY,2021-12-31,2022-02-24,2024-02-21,185663439.0,185663439.0,12152000000.0,-9153000000.0,2999000000.0,-922000000.0,-227000000.0,-31000000.0,-664000000.0,2077000000.0,250000000.0,-195000000.0,2327000000.0,-1128000000.0,1199000000.0,-629000000.0,570000000,,429000000,429000000
9,AA,367153,USD,2022,FY,2022-12-31,2023-02-23,2025-02-20,186377853.0,189907737.0,12451000000.0,-10212000000.0,2239000000.0,-853000000.0,-204000000.0,-32000000.0,-617000000.0,1386000000.0,12000000.0,-106000000.0,1398000000.0,-696000000.0,702000000.0,-664000000.0,38000000,,-123000000,-123000000
